ingredient_id,name_cn,inci_name,cas_no,synonyms,use_purpose_2023,efficacy_2023,literature_evidence,efficacy_relation,mechanism_legacy,mechanism_id_1,reference_1,mechanism_id_2,reference_2
6006,神经酰胺 EOP,CERAMIDE EOP;CERAMIDE EOP,,神经酰胺 9,保湿剂;修护;发用调理剂;润肤剂,"修护,保湿,护发",修护,修护,L3,JL129,"[1]赵冰怡;杨洪芹;潘启诚;刘艺;丛琳;唐嘉雯;李雪竹. 神经酰胺复合物在配方中的保湿修护功效评价 [J]. 中国洗涤用品工业, 2022, (08): 70-77.https://kns.cnki.net/KXReader/Detail?invoice=DxV8M586EhB%2FH1eOAjT2r6gWZTDVdMO5Dc0eKZIWptlvoyAc0BcTYRFXsn37RWq5vFU%2FrNJ2obM8%2Br6aX%2BeUn3KRk%2FnzoHsAWLRdYF15T24Srev6zPfP%2BLICfSym0L5VDc1WjjnUOwp4fzqKAgG5rb2I4DMdeyxIskJ3Gr6w1Vo%3D&DBCODE=CJFQ&FileName=XDYP202208010&TABLEName=cjfdlast2022&nonce=AB5733473EA5461288E96ED30D9E0CCA&TIMESTAMP=1700719915473&uid=",,
6008,神经酰胺 NS/神经酰胺 NG,CERAMIDE NS/CERAMIDE NG,,,保湿剂;修护;发用调理剂;润肤剂,"修护,保湿,护发",,,,,,,
6009,神经酰胺 NP,CERAMIDE NP,,,保湿剂;修护;发用调理剂;润肤剂,"修护,保湿,护发",修护,修护,L3,JL129,"[1]赵冰怡;杨洪芹;潘启诚;刘艺;丛琳;唐嘉雯;李雪竹. 神经酰胺复合物在配方中的保湿修护功效评价 [J]. 中国洗涤用品工业, 2022, (08): 70-77.https://kns.cnki.net/KXReader/Detail?invoice=DxV8M586EhB%2FH1eOAjT2r6gWZTDVdMO5Dc0eKZIWptlvoyAc0BcTYRFXsn37RWq5vFU%2FrNJ2obM8%2Br6aX%2BeUn3KRk%2FnzoHsAWLRdYF15T24Srev6zPfP%2BLICfSym0L5VDc1WjjnUOwp4fzqKAgG5rb2I4DMdeyxIskJ3Gr6w1Vo%3D&DBCODE=CJFQ&FileName=XDYP202208010&TABLEName=cjfdlast2022&nonce=AB5733473EA5461288E96ED30D9E0CCA&TIMESTAMP=1700719915473&uid=",,
6011,神经酰胺 AP,CERAMIDE AP,,,保湿剂;修护;发用调理剂,"修护,保湿,护发",保湿，修护,保湿|修护,B3|/,JL88|JL129,"[1]赵冰怡;杨洪芹;潘启诚;刘艺;丛琳;唐嘉雯;李雪竹. 神经酰胺复合物在配方中的保湿修护功效评价 [J]. 中国洗涤用品工业, 2022, (08): 70-77.https://kns.cnki.net/KXReader/Detail?invoice=DxV8M586EhB%2FH1eOAjT2r6gWZTDVdMO5Dc0eKZIWptlvoyAc0BcTYRFXsn37RWq5vFU%2FrNJ2obM8%2Br6aX%2BeUn3KRk%2FnzoHsAWLRdYF15T24Srev6zPfP%2BLICfSym0L5VDc1WjjnUOwp4fzqKAgG5rb2I4DMdeyxIskJ3Gr6w1Vo%3D&DBCODE=CJFQ&FileName=XDYP202208010&TABLEName=cjfdlast2022&nonce=AB5733473EA5461288E96ED30D9E0CCA&TIMESTAMP=1700719915473&uid=",,
1898,地茶（THAMNOLIA VERMICULARIS）叶提取物,THAMNOLIA VERMICULARIS LEAF EXTRACT,,,保湿剂,保湿,,,,,,,
4869,牛黄,BOVIS CALCULUS,,,,,,,,,,,
2776,何首乌（POLYGONUM MULTIFLORUM）根水,POLYGONUM MULTIFLORUM ROOT WATER,,,发用调理剂,护发,,,,,,,
6418,丝瓜（LUFFA CYLINDRICA）根提取物,LUFFA CYLINDRICA ROOT EXTRACT,,,发用调理剂,护发,,,,,,,
6420,丝瓜（LUFFA CYLINDRICA）果/叶/茎提取物,LUFFA CYLINDRICA FRUIT/LEAF/STEM EXTRACT,,,发用调理剂,护发,,,,,,,
6422,丝瓜（LUFFA CYLINDRICA）果提取物,LUFFA CYLINDRICA FRUIT EXTRACT,,,发用调理剂,护发,,,,,,,
6423,丝瓜（LUFFA CYLINDRICA）茎提取物,LUFFA CYLINDRICA STEM EXTRACT,,,发用调理剂,护发,,,,,,,
6424,丝瓜（LUFFA CYLINDRICA）提取物,LUFFA CYLINDRICA EXTRACT,,,发用调理剂,护发,,,,,,,
6425,丝瓜（LUFFA CYLINDRICA）叶提取物,LUFFA CYLINDRICA LEAF EXTRACT,,,发用调理剂,护发,,,,,,,
1812,单穗升麻（CIMICIFUGA SIMPLEX）根提取物,CIMICIFUGA SIMPLEX ROOT EXTRACT,,,发用调理剂,护发,,,,,,,
2005,独活（ANGELICA PUBESCENS）提取物,ANGELICA PUBESCENS EXTRACT,,,脱毛剂;舒缓,"脱毛,舒缓",,,,,,,
1588,侧柏（PLATYCLADUS ORIENTALIS）叶提取物,PLATYCLADUS ORIENTALIS LEAF EXTRACT,,,发用调理剂;防脱发剂;脱毛剂,"脱毛,护发,防脱发",防脱发,防脱发,F1,JL16,"[1]Zhang B ,Zhang R ,Yin X , et al.Inhibitory activities of some traditional Chinese herbs against testosterone 5α-reductase and effects of Cacumen platycladi on hair re-growth in testosterone-treated mice[J].Journal of Ethnopharmacology,2016,1771-9. https://www.sciencedirect.com/science/article/abs/pii/S0378874115302130",,
2273,番木瓜（CARICA PAPAYA）果汁,CARICA PAPAYA (PAPAYA) FRUIT JUICE,,,角质剥落剂;角质软化剂;脱毛剂;抗皱,"脱毛,去角质,抗皱",,,,,,,
2275,番木瓜（CARICA PAPAYA）叶提取物,CARICA PAPAYA (PAPAYA) LEAF EXTRACT,,,脱毛剂;角质剥脱剂;角质软化剂;抗皱,"脱毛,去角质,抗皱",,,,,,,
5694,乳香（BOSWELLIA CARTERII）树皮粉,BOSWELLIA CARTERII BARK POWDER,,,脱毛剂;角质剥落剂;角质软化剂,"脱毛,去角质",,,,,,,
1882,稻（ORYZA SATIVA）提取物,ORYZA SATIVA (RICE) EXTRACT,,,发用调理剂;脱毛剂,"脱毛,护发",,,,,,,
1518,菠萝（ANANAS SATIVUS）果,ANANAS SATIVUS (PINEAPPLE) FRUIT,,,角质软化剂;角质剥落剂;脱毛剂,"脱毛,去角质",,,,,,,
1521,菠萝（ANANAS SATIVUS）果汁,ANANAS SATIVUS (PINEAPPLE) FRUIT JUICE,,,角质软化剂;角质剥落剂;脱毛剂,"脱毛,去角质",,,,,,,
1519,菠萝（ANANAS SATIVUS）果水,ANANAS SATIVUS (PINEAPPLE) FRUIT WATER,,,角质剥落剂;角质软化剂;脱毛剂,"脱毛,去角质",,,,,,,
1523,菠萝（ANANAS SATIVUS）提取物,ANANAS SATIVUS (PINEAPPLE) EXTRACT,,,角质软化剂;角质剥落剂;脱毛剂,"脱毛,去角质",,,,,,,
1613,柴胡（BUPLEURUM CHINENSE）根提取物,BUPLEURUM CHINENSE ROOT EXTRACT,,,脱毛剂;祛痘;保湿剂;收敛剂,"脱毛,祛痘,保湿,紧致",,,,,,,
6922,狭叶柴胡（BUPLEURUM SCORZONERIFOLIUM）提取物,BUPLEURUM SCORZONERIFOLIUM EXTRACT,,,脱毛剂;祛痘;保湿剂,"脱毛,祛痘,保湿",,,,,,,
6921,狭叶柴胡（BUPLEURUM SCORZONERIFOLIUM）根提取物,BUPLEURUM SCORZONERIFOLIUM ROOT EXTRACT,,,脱毛剂;祛痘;保湿剂,"脱毛,祛痘,保湿",,,,,,,
5168,普通鹿蹄草（PYROLA DECORATA）提取物,PYROLA DECORATA EXTRACT,,,脱毛剂,脱毛,,,,,,,
1614,柴胡（BUPLEURUM CHINENSE）提取物,BUPLEURUM CHINENSE EXTRACT,,,祛斑剂;美白剂;脱毛剂;舒缓,"脱毛,祛斑美白,舒缓",,,,,,,
4447,鹿蹄草（PYROLA CALLIANTHA）提取物,PYROLA CALLIANTHA EXTRACT,,,脱毛剂,脱毛,,,,,,,
3139,藿香（AGASTACHE RUGOSA）提取物,AGASTACHE RUGOSA EXTRACT,,,发用调理剂;脱毛剂;收敛剂,"脱毛,紧致,护发",,,,,,,
1885,稻（ORYZA SATIVA）脂质,ORYZA SATIVA (RICE) LIPIDS,,,,,,,,,,,
8974,侧柏（PLATYCLADUS ORIENTALIS）种仁提取物,PLATYCLADUS ORIENTALIS KERNEL EXTRACT,,,收敛剂,紧致,,,,,,,
5989,射干（BELAMCANDA CHINENSIS）提取物,BELAMCANDA CHINENSIS EXTRACT,,,脱毛剂,脱毛,,,,,,,
6599,桃（PRUNUS PERSICA）核仁,PRUNUS PERSICA (PEACH) KERNEL,,,脱毛剂;收敛剂;保湿剂;紧致,"脱毛,紧致,保湿,收敛",,,,,,,
6602,桃（PRUNUS PERSICA）花蕾提取物,PRUNUS PERSICA (PEACH) BUD EXTRACT,,,保湿剂,保湿,,,,,,,
6603,桃（PRUNUS PERSICA）花末,PRUNUS PERSICA (PEACH) FLOWER POWDER,,,保湿剂,保湿,,,,,,,
6607,桃（PRUNUS PERSICA）提取物,PRUNUS PERSICA (PEACH) EXTRACT,,,保湿剂,保湿,,,,,,,
6611,桃（PRUNUS PERSICA）籽提取物,TOUNIN EKISU,,,保湿剂,保湿,,,,,,,
3038,黄檗（PHELLODENDRON AMURENSE）提取物,PHELLODENDRON AMURENSE EXTRACT,,黄柏(CORTEX PHELLODENDRI CHINENSIS)提取物,脱毛剂,脱毛,,,,,,,
1681,黄皮树（PHELLODENDRON CHINENSE）提取物,PHELLODENDRON CHINENSE EXTRACT,,,,,,,,,,,
3039,黄檗（PHELLODENDRON AMURENSE）树皮,PHELLODENDRON AMURENSE BARK,,,脱毛剂;磨砂剂,"脱毛,去角质",,,,,,,
3040,黄檗（PHELLODENDRON AMURENSE）树皮粉,PHELLODENDRON AMURENSE BARK POWDER,,,脱毛剂;磨砂剂,"脱毛,去角质",,,,,,,
3140,藿香蓟（AGERATUM CONYZOIDES）叶提取物,AGERATUM CONYZOIDES LEAF EXTRACT,,,,,,,,,,,
5988,射干（BELAMCANDA CHINENSIS）根提取物,BELAMCANDA CHINENSIS ROOT EXTRACT,,,发用调理剂;脱毛剂,"脱毛,护发",,,,,,,
6600,桃（PRUNUS PERSICA）核仁提取物,PRUNUS PERSICA (PEACH) KERNEL EXTRACT,,,发用调理剂;脱毛剂,"脱毛,护发",,,,,,,
1585,侧柏（BIOTA ORIENTALIS）叶提取物,BIOTA ORIENTALIS LEAF EXTRACT,,丛柏叶提取物;柏叶提取物,发用调理剂;防脱发剂;脱毛剂,"脱毛,防脱发,护发",防脱发,防脱发,F1,JL16,"[1]Zhang B ,Zhang R ,Yin X , et al.Inhibitory activities of some traditional Chinese herbs against testosterone 5α-reductase and effects of Cacumen platycladi on hair re-growth in testosterone-treated mice[J].Journal of Ethnopharmacology,2016,1771-9. https://www.sciencedirect.com/science/article/abs/pii/S0378874115302130",,
1592,侧柏（THUJA ORIENTALIS）叶提取物,THUJA ORIENTALIS LEAF EXTRACT,,,发用调理剂;保湿剂;防脱发剂;脱毛剂;皮肤保护剂,"脱毛,防脱发,保湿,护发",防脱发,防脱发,F1,JL16,"[1]Zhang B ,Zhang R ,Yin X , et al.Inhibitory activities of some traditional Chinese herbs against testosterone 5α-reductase and effects of Cacumen platycladi on hair re-growth in testosterone-treated mice[J].Journal of Ethnopharmacology,2016,1771-9. https://www.sciencedirect.com/science/article/abs/pii/S0378874115302130",,
1586,侧柏（BIOTA ORIENTALIS）籽,BIOTA ORIENTALIS SEED,,,脱毛剂;防脱发剂,"脱毛,防脱发",,,,,,,
1587,侧柏（PLATYCLADUS ORIENTALIS）提取物,PLATYCLADUS ORIENTALIS EXTRACT,,,脱毛剂;防脱发剂,"脱毛,防脱发",,,,,,,
1589,侧柏（PLATYCLADUS ORIENTALIS）枝/叶提取物,PLATYCLADUS ORIENTALIS BRANCH/LEAF EXTRACT,,,脱毛剂;防脱发剂,"脱毛,防脱发",,,,,,,
1873,稻（ORYZA SATIVA）糠提取物,ORYZA SATIVA (RICE) BRAN EXTRACT,,,发用调理剂;润肤剂;保湿剂;脱毛剂,"脱毛,保湿,护发",,,,,,,
6601,桃（PRUNUS PERSICA）核仁油,PRUNUS PERSICA (PEACH) KERNEL OIL,,水蜜桃核仁油;水蜜桃仁油,保湿剂;脱毛剂,"脱毛,保湿",,,,,,,
4574,麦芽糖,MALTOSE,,饴糖;淀粉糖;4-O-α-D-吡喃葡糖基-D-葡萄糖,保湿剂,保湿,,,,,,,
1884,稻（ORYZA SATIVA）糟提取物,ORYZA SATIVA (RICE) LEES EXTRACT,,,保湿剂;脱毛剂,"脱毛,保湿",,,,,,,
6609,桃（PRUNUS PERSICA）汁,PRUNUS PERSICA (PEACH) JUICE,,,保湿剂,保湿,,,,,,,
2274,番木瓜（CARICA PAPAYA）提取物,CARICA PAPAYA EXTRACT,,,脱毛剂,脱毛,,,,,,,
1013,阿尔泰柴胡（BUPLEURUM FALCATUM）根提取物,BUPLEURUM FALCATUM ROOT EXTRACT,,,脱毛剂,脱毛,,,,,,,
1590,侧柏（THUJA ORIENTALIS）水,THUJA ORIENTALIS WATER,,,脱毛剂,脱毛,,,,,,,
1875,稻（ORYZA SATIVA）糠油提取物,ORYZA SATIVA (RICE) BRAN OIL EXTRACT,,,脱毛剂,脱毛,,,,,,,
6604,桃（PRUNUS PERSICA）花水,PRUNUS PERSICA (PEACH) FLOWER WATER,,,,,,,,,,,
6606,桃（PRUNUS PERSICA）树脂提取物,PRUNUS PERSICA (PEACH) RESIN EXTRACT,,,,,,,,,,,
1883,稻（ORYZA SATIVA）叶提取物,ORYZA SATIVA (RICE) LEAF EXTRACT,,,,,,,,,,,
2871,红花鹿蹄草（PYROLA INCARNATA）提取物,PYROLA INCARNATA EXTRACT,,,脱毛剂,脱毛,,,,,,,
1205,半胱氨酸,CYSTEINE,,L-2-氨基-3-巯基丙酸,发用调理剂;保湿剂;烫发剂;还原剂;抗静电剂,"烫发,保湿,护发",修护,修护,L7,JL2,"[1]谈益妹,赵毅,刘玮,马彦云.皮肤屏障调控机制和修护策略的研究进展[J].世界临床药物,2023,44(01):77-82.https://kns.cnki.net/KXReader/Detail?invoice=hvYiy99bbhcXhzoJLqj35fdrixO38Z0szOYMGfplCmG5NblvgtRl5GUUY4V%2BpRhZ%2FlmRPyLA5bg8aUoOXyFuhDp0qeUpTxbBGWwMmf%2BCe80Z6eGWgmCnUOLeyC%2B7gKxAH8xCHdjOYnU7%2F3Pnus97KqQnNhRapu118TGMsxotj%2FY%3D&DBCODE=CJFD&FileName=GWHH202301013&TABLEName=cjfdlast2023&nonce=23FE70CCDF5C476691056B20EBCDD1F9&TIMESTAMP=1697593615283&uid=",,
2585,谷胱甘肽,GLUTATHIONE,,Γ-谷氨酰-半胱氨酰-甘氨酸;L-谷胱苷肽,还原剂;祛斑剂;美白剂;保湿剂;烫发剂,"烫发,祛斑美白,保湿",祛斑美白,祛斑美白,A1,JL35,"[1]赵玲玲,张理平.抑制酪氨酸酶药物研究新进展[J].海峡药学,2009,21(12):124-126. https://kns.cnki.net/kcms2/article/abstract?v=e9e-pYHXmfduSiG-5VnZbBSAUrFuxEPPZZXSuJhul2yNvJiWFpZqTO9or4InDwjlL3oKE71PAFLFeO6ZBUftTkfI8OQWT2Ag_TIpbOo-9AV6VVKdD6NQwfzHXLIJdqZP27qOgT1XDoN1ypMuV_7sMsJw2dGiSIhaia4qyJgntuYe8dF4Qx3IoLXZ5-F1zqfu&uniplatform=NZKPT&language=CHS",,
1623,朝鲜当归（ANGELICA GIGAS）根提取物,ANGELICA GIGAS ROOT EXTRACT,,,发用调理剂;烫发剂,"烫发,护发",,,,,,,
6456,苏氨酸,THREONINE,,酥胺酸,发用调理剂;保湿剂;烫发剂;抗静电剂,"烫发,保湿,护发",修护,修护,L7,JL2,"[1]谈益妹,赵毅,刘玮,马彦云.皮肤屏障调控机制和修护策略的研究进展[J].世界临床药物,2023,44(01):77-82.https://kns.cnki.net/KXReader/Detail?invoice=hvYiy99bbhcXhzoJLqj35fdrixO38Z0szOYMGfplCmG5NblvgtRl5GUUY4V%2BpRhZ%2FlmRPyLA5bg8aUoOXyFuhDp0qeUpTxbBGWwMmf%2BCe80Z6eGWgmCnUOLeyC%2B7gKxAH8xCHdjOYnU7%2F3Pnus97KqQnNhRapu118TGMsxotj%2FY%3D&DBCODE=CJFD&FileName=GWHH202301013&TABLEName=cjfdlast2023&nonce=23FE70CCDF5C476691056B20EBCDD1F9&TIMESTAMP=1697593615283&uid=",,
4608,毛泡桐（PAULOWNIA TOMENTOSA）叶提取物,PAULOWNIA TOMENTOSA LEAF EXTRACT,,,发用调理剂;舒缓;收敛剂,"舒缓,紧致,护发",,,,,,,
7262,锈毛泡桐（PAULOWNIA IMPERIALIS）树皮/花/叶提取物,PAULOWNIA IMPERIALIS BARK/FLOWER/LEAF EXTRACT,,,收敛剂;发用调理剂;舒缓,"舒缓,紧致,护发",,,,,,,
7145,缬草（VALERIANA OFFICINALIS）根茎/根提取物,VALERIANA OFFICINALIS RHIZOME/ROOT EXTRACT,,,除臭剂;舒缓,"舒缓,除臭",,,,,,,
1197,百脉根（LOTUS CORNICULATUS）籽提取物,LOTUS CORNICULATUS SEED EXTRACT,,,除臭剂,除臭,,,,,,,
1133,白桦（BETULA ALBA）树皮粉,BETULA ALBA BARK POWDER,,,舒缓;角质剥脱剂;角质软化剂,"舒缓,去角质",,,,,,,
7120,小米草（EUPHRASIA OFFICINALIS）提取物,EUPHRASIA OFFICINALIS EXTRACT,,,舒缓;收敛剂,"舒缓,紧致",舒缓,舒缓,K3,JL23,https://cosmetics.specialchem.com/product/i-the-garden-of-naturalsolution-eyebright-extract-ns,,
1808,丹参（SALVIA MILTIORRHIZA）花/叶/根提取物,SALVIA MILTIORRHIZA FLOWER/LEAF/ROOT EXTRACT,,,发用调理剂;祛痘;防脱发剂,"祛痘,护发,防脱发",祛痘，防脱发,祛痘|防脱发,H1|/,JL81|JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》|《化妆品植物原料手册》",JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》"
1809,丹参（SALVIA MILTIORRHIZA）提取物,SALVIA MILTIORRHIZA EXTRACT,,,发用调理剂;防脱发剂;祛痘,"祛痘,护发,防脱发",祛痘，防脱发,祛痘|防脱发,H1|/,JL81|JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》|《化妆品植物原料手册》",JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》"
1807,丹参（SALVIA MILTIORRHIZA）根提取物,SALVIA MILTIORRHIZA ROOT EXTRACT,,,发用调理剂;祛痘;防脱发剂,"祛痘,护发,防脱发",祛痘，防脱发,祛痘|防脱发,H1|/,JL81|JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》|《化妆品植物原料手册》",JL15,"[1]宋彦,董银卯,王友升.祛痘功效添加剂的研究进展[J].北京工商大学学报(自然科学版),2008,(06):13-17. https://kns.cnki.net/nzkhtml/xmlRead/xml.html?pageType=web&fileName=BQGB200806003&tableName=CJFDTOTAL&dbCode=CJFD&topic=&fileSourceType=1&taskId=&from=&groupId=&appId=KNS_BASIC_PSMC&act=&customReading=&invoice=SQLxuKSCmckFMnQ9w1pO+64Prwmxr+yw5z6wqyB+B69ypd+kmAdevQNg/QK/CUrF4kN9uns5TgVqS9UKeX9Ggl7Iulpw2atbBzWBC5aXuVdnVTsYOdIcc0KzXJc5Yhwef+myKqQFLz0N4QKGxVX6kRznzFqOBoC9P655nLfV9RM= [2]《化妆品植物原料手册》"
1806,丹参（SALVIA MILTIORRHIZA）根粉,SALVIA MILTIORRHIZA ROOT POWDER,,,发用调理剂;祛痘;防脱发剂,"祛痘,护发,防脱发",,,,,,,
8126,油橄榄（OLEA EUROPAEA）树皮提取物,OLEA EUROPAEA (OLIVE) BARK EXTRACT,,,,,,,,,,,
8117,油橄榄（OLEA EUROPAEA）果,OLEA EUROPAEA (OLIVE) FRUIT,,,祛痘,祛痘,,,,,,,
2396,甘草酸二钾,DIPOTASSIUM GLYCYRRHIZATE,,甘草酸二钾盐,舒缓;保湿剂;发用调理剂;润肤剂,"舒缓,保湿,护发",舒缓,舒缓,K3,JL23,"[1]Leite, C.d.S.; Bonafé, G.A.; Pires, O.C.; Santos, T.W.d.; Pereira, G.P.; Pereira, J.A.; Rocha, T.; Martinez, C.A.R.; Ortega, M.M.; Ribeiro, M.L. Dipotassium Glycyrrhizininate Improves Skin Wound Healing by Modulating Inflammatory Process. Int. J. Mol. Sci. 2023, 24, 3839. https://doi.org/10.3390/ijms24043839",,
2408,甘菊（DENDRANTHEMA LAVANDULIFOLIUM）提取物,DENDRANTHEMA LAVANDULIFOLIUM EXTRACT,,,祛痘;舒缓,"舒缓,祛痘",,,,,,,
4908,扭刺仙人掌（OPUNTIA STREPTACANTHA）叶提取物,OPUNTIA STREPTACANTHA LEAF EXTRACT,,,祛痘,祛痘,,,,,,,
6951,仙人掌（OPUNTIA DILLENII）花提取物,OPUNTIA DILLENII FLOWER EXTRECT,,,祛痘,祛痘,,,,,,,
